unix,close,gains,losses,gains ave,losses ave,rs,rsi
1.51321E+12,272.4,,,,,,
1.5133E+12,294,21.6,0,,,,
1.51338E+12,293.97,0,0.03,,,,
1.51347E+12,311.4,17.43,0,,,,
1.51356E+12,352,40.6,0,,,,
1.51356E+12,352,0,0,,,,
1.51364E+12,338.48,0,13.52,,,,
1.51373E+12,302.7,0,35.78,,,,
1.51381E+12,302,0,0.7,,,,
1.5139E+12,250.99,0,51.01,,,,
1.51399E+12,253.44,2.45,0,,,,
1.51407E+12,262.9,9.46,0,,,,
1.51416E+12,261.2,0,1.7,,,,
1.51425E+12,277.98,16.78,0,,,,
1.51433E+12,262.59,0,15.39,7.737142857,8.437857143,0.916955896,47.83395893
1.51442E+12,244.68,0,17.91,7.184489796,25.74515306,0.27906184,21.81769729
1.51451E+12,238.27,0,6.41,6.671311953,30.31621356,0.220057559,18.03665388
1.51459E+12,206.03,0,32.24,6.194789671,60.39076973,0.102578419,9.303503232
1.51468E+12,223.69,17.66,0,23.41230469,56.07714332,0.417501736,29.45334919
1.51476E+12,222.61,0,1.08,21.73999722,53.15163308,0.409018424,29.02860724
1.51485E+12,247.33,24.72,0,44.90714027,49.35508786,0.909878641,47.64065221
1.51494E+12,238.77,0,8.56,41.6994874,54.38972445,0.766679512,43.39663797
1.51502E+12,233,0,5.77,38.72095258,56.27474413,0.688069811,40.76074383
1.51511E+12,240.54,7.54,0,43.49517025,52.25511955,0.832361894,45.42562779
1.5152E+12,275.28,34.74,0,75.12837238,48.52261101,1.548316771,60.75841075
1.51528E+12,269.01,0,6.27,69.76206007,51.32671022,1.359176533,57.61232846
1.51537E+12,252.65,0,16.36,64.77905578,64.02051663,1.011848376,50.29446493
1.51546E+12,244.48,0,8.17,60.15198036,67.61762259,0.889590288,47.07847483
1.51554E+12,247.63,3.15,0,59.00541034,62.7877924,0.939759276,48.44721135
1.51563E+12,223.77,0,23.86,54.79073817,82.16295009,0.666854563,40.0067635
1.51572E+12,233.11,9.34,0,60.21711402,76.29416794,0.789275454,44.11145596
1.5158E+12,257.98,24.87,0,80.78589159,70.84458452,1.140325575,53.2781362
1.51589E+12,234.12,0,23.86,75.01547076,89.64425705,0.836812901,45.55787366
1.51597E+12,229.5,0,4.62,69.65722285,87.86109583,0.792810768,44.22166478
1.51606E+12,179.28,0,50.22,64.68170693,131.8053033,0.490736756,32.91907534
1.51615E+12,182.44,3.16,0,63.22158501,122.3906388,0.516555724,34.0611107
1.51623E+12,186.14,3.7,0,62.40575751,113.6484503,0.549112261,35.44689916
1.51632E+12,191.42,5.28,0,63.2282034,105.5307038,0.599145093,37.46658736
1.51641E+12,210.4,18.98,0,77.69190316,97.99279641,0.7928328,44.22235024
1.51649E+12,190.16,0,20.24,72.1424815,111.2333109,0.648569038,39.34133319
1.51658E+12,178,0,12.16,66.98944711,115.4480745,0.58025608,36.71911706
1.51667E+12,176.98,0,1.02,62.2044866,108.2217834,0.574787114,36.49935341
1.51675E+12,180.89,3.91,0,61.67130899,100.491656,0.613695817,38.03045225
1.51684E+12,179.59,0,1.3,57.26621549,94.6136806,0.605263585,37.7049346
1.51692E+12,177.09,0,2.5,53.17577152,90.35556056,0.588516868,37.0481976
1.51701E+12,182.1,5.01,0,54.38750213,83.90159195,0.64822968,39.32884404
1.5171E+12,196.74,14.64,0,65.14268055,77.90862109,0.836142132,45.53798518
1.51718E+12,181.5,0,15.24,60.48963194,87.58371959,0.690649269,40.85112636
1.51727E+12,168.21,0,13.29,56.16894394,94.61773962,0.593640729,37.25059973
1.51736E+12,165.19,0,3.02,52.15687652,90.87932964,0.573913526,36.46410788
1.51744E+12,143.69,0,21.5,48.43138534,105.887949,0.457383355,31.38387394
1.51753E+12,131.68,0,12.01,44.97200067,110.334524,0.407596816,28.95692937
1.51762E+12,160.3,28.62,0,70.37971491,102.4534866,0.686943092,40.72117758
1.5177E+12,147.09,0,13.21,65.35259242,108.3453804,0.603187622,37.62426893
1.51779E+12,125.17,0,21.92,60.6845501,122.5264247,0.495277245,33.12277017
1.51788E+12,141,15.83,0,72.17993938,113.7745372,0.634412068,38.8159192
1.51796E+12,137.21,0,3.79,67.02422942,109.4377845,0.612441395,37.98224214
1.51805E+12,142.37,5.16,0,67.39678446,101.6207999,0.663218401,39.87560508
1.51813E+12,163.73,21.36,0,83.94272843,94.36217136,0.889580297,47.07819501
1.51822E+12,154.65,0,9.08,77.94681926,96.70201626,0.806051645,44.63059775
1.51831E+12,148.28,0,6.37,72.37918931,96.16472939,0.752658379,42.9438154
1.51839E+12,161.49,13.21,0,80.41924722,89.29582015,0.900593635,47.38486009
1.51848E+12,159.63,0,1.86,74.67501527,84.77754728,0.880834816,46.8321199
1.51857E+12,212.25,52.62,0,121.9610856,78.72200819,1.549262886,60.7729746
1.51865E+12,220.64,8.39,0,121.6395795,73.0990076,1.664038726,62.46300813
1.51874E+12,228.08,7.44,0,120.3910381,67.87764992,1.773647707,63.94639458
1.51883E+12,228,0,0.08,111.7916782,63.10924635,1.771399354,63.91714538
1.51891E+12,213.66,0,14.34,103.8065584,72.94144304,1.423149228,58.73139019
1.519E+12,221.44,7.78,0,104.1718042,67.73133997,1.538014813,60.59912674
1.51908E+12,228.51,7.07,0,103.800961,62.89338711,1.650427268,62.27023423
1.51917E+12,209.6,0,18.91,96.38660668,77.31100232,1.246738547,55.49103827
1.51926E+12,192.61,0,16.99,89.50184906,88.77878787,1.008144527,50.20278736
1.51934E+12,206.4,13.79,0,96.89885984,82.43744588,1.175422877,54.03192591
1.51943E+12,206.5,0.1,0,90.07751271,76.54905688,1.176729229,54.05951339
1.51952E+12,217.78,11.28,0,94.92340466,71.08126711,1.335420829,57.18116463
1.5196E+12,218.5,0.72,0,88.86316147,66.00403374,1.346329253,57.38023559
1.51969E+12,214.6,0,3.9,82.51579279,65.1894599,1.265784268,55.86517154
1.51978E+12,201.86,0,12.74,76.62180759,73.27306991,1.045702162,51.11702873
1.51986E+12,209.17,7.31,0,78.45882134,68.0392792,1.153140102,53.55620383
1.51995E+12,212.8,3.63,0,76.48461981,63.17933069,1.210595601,54.76332263
1.52004E+12,210.04,0,2.76,71.02143268,61.42652135,1.156201444,53.62214403
1.52012E+12,213.19,3.15,0,69.09847321,57.03891269,1.211426901,54.78032759
1.52021E+12,210.14,0,3.05,64.16286798,56.01470464,1.14546472,53.39005156
1.52029E+12,196.24,0,13.9,59.57980598,65.91365431,0.903906886,47.47642295
1.52038E+12,185.25,0,10.99,55.32410555,72.19553614,0.766309228,43.3847718
1.52047E+12,175.24,0,10.01,51.37238373,77.04871213,0.666752011,40.00307222
1.52055E+12,185.79,10.55,0,58.25292775,71.54523269,0.814211172,44.87962506
1.52064E+12,176.74,0,9.05,54.09200434,75.48485893,0.716594097,41.74511018
1.52073E+12,188.16,11.42,0,61.64828974,70.09308329,0.879520301,46.7949349
1.52081E+12,177.8,0,10.36,57.24484047,75.44643448,0.758748122,43.14137496
1.5209E+12,175.01,0,2.79,53.1559233,72.84740345,0.729688647,42.18612688
1.52099E+12,160.15,0,14.86,49.35907163,82.50401749,0.598262644,37.43206075
1.52107E+12,164,3.85,0,49.68342366,76.61087338,0.648516607,39.33940393
1.52116E+12,164.1,0.1,0,46.23460768,71.13866814,0.649922312,39.39108571
1.52124E+12,151.75,0,12.35,42.93213571,78.4073347,0.547552546,35.38183871
1.52133E+12,153.5,1.75,0,41.61555458,72.8068108,0.571588758,36.37012261
1.52142E+12,161.2,7.7,0,46.34301497,67.60632431,0.685483428,40.66984088
1.5215E+12,168.24,7.04,0,50.07279962,62.77730114,0.797625873,44.37107214
1.52159E+12,168.54,0.3,0,46.79617107,58.29320821,0.80277227,44.52987675
1.52168E+12,163.65,0,4.89,43.45358742,59.01940762,0.736259295,42.40491595
1.52176E+12,168.66,5.01,0,45.35975975,54.80373565,0.827676421,45.28571968
1.52185E+12,158.92,0,9.74,42.11977691,60.6291831,0.694711272,40.99289852
1.52194E+12,160.01,1.09,0,40.20122142,56.29852716,0.714072347,41.65940534
1.52202E+12,147.83,0,12.18,37.3297056,64.4572038,0.579139389,36.67436788
1.52211E+12,135,0,12.83,34.66329806,72.68311781,0.476909895,32.29106233
1.5222E+12,131.22,0,3.78,32.1873482,71.27146654,0.45161619,31.11126711
1.52228E+12,114.7,0,16.52,29.8882519,82.7006475,0.361402877,26.54635764
1.52237E+12,118.35,3.65,0,31.40337676,76.79345839,0.408932967,29.02430253
1.52245E+12,116.05,0,2.3,29.16027842,73.60821136,0.396155237,28.374727
1.52254E+12,114.74,0,1.31,27.07740139,69.66048198,0.388705341,27.99048361
1.52263E+12,119.05,4.31,0,29.45330129,64.68473327,0.45533621,31.28735524
1.52271E+12,134.04,14.99,0,42.33949406,60.06439518,0.704901696,41.34559183
1.5228E+12,118.07,0,15.97,39.31524448,71.74408124,0.547992863,35.40021896
1.52289E+12,118.26,0.19,0,36.69701273,66.61950401,0.550844881,35.51901854
1.52297E+12,112.79,0,5.47,34.07579754,67.33096801,0.506093979,33.60308097
1.52306E+12,115.8,3.01,0,34.651812,62.52161315,0.554237331,35.65976186
1.52315E+12,117.55,1.75,0,33.92668257,58.05578364,0.584380753,36.88385838
1.52323E+12,114.79,0,2.76,31.5033481,56.66894195,0.555919116,35.72930689
1.52332E+12,114.25,0,0.54,29.25310895,53.16116038,0.550272205,35.49519906
1.5234E+12,118.4,4.15,0,31.31360117,49.36393464,0.634341679,38.81328409
1.52349E+12,129.67,11.27,0,40.34691537,45.83793931,0.88020788,46.8143916
1.52358E+12,125.1,0,4.57,37.46499284,47.13380079,0.794864667,44.28549302
1.52366E+12,126.4,1.3,0,36.08892193,43.76710073,0.824567342,45.19248608
1.52375E+12,132.45,6.05,0,39.56114179,40.64087925,0.973432232,49.32686393
1.52384E+12,128.96,0,3.49,36.73534595,41.2279593,0.891029936,47.11876418
1.52392E+12,132.09,3.13,0,37.24139267,38.28310507,0.97278924,49.31034801
1.52401E+12,140.36,8.27,0,42.85129319,35.54859756,1.205428516,54.65733788
1.5241E+12,146.71,6.35,0,46.14048653,33.00941202,1.397797892,58.29506718
1.52418E+12,155.71,9,0,51.8447375,30.65159688,1.691420441,62.84489837
1.52427E+12,148.4,0,7.31,48.14154196,35.7721971,1.345780966,57.37027393
1.52436E+12,146.38,0,2.02,44.70286039,35.23704016,1.268632671,55.92058544
1.52444E+12,152.56,6.18,0,47.68979893,32.72010872,1.457507349,59.30836177
1.52453E+12,164.78,12.22,0,56.50338472,30.3829581,1.859706502,65.03137649
1.52461E+12,144.75,0,20.03,52.46742867,48.24274681,1.087571338,52.09744539
1.5247E+12,153.19,8.44,0,57.1597552,44.79683632,1.2759775,56.06283453
1.52479E+12,144.9,0,8.29,53.07691554,49.8870623,1.063941493,51.54901418
1.52487E+12,152.1,7.2,0,56.48570729,46.32370071,1.21936949,54.94215791
1.52496E+12,153.5,1.4,0,53.85101391,43.01486494,1.251916378,55.59337772
1.52505E+12,148.37,0,5.13,50.00451292,45.07237459,1.10942708,52.59376304
1.52513E+12,148.29,0,0.08,46.43276199,41.93291926,1.107310505,52.54614839
1.52522E+12,151.58,3.29,0,46.40613614,38.93771074,1.191804429,54.37549142
1.52531E+12,161.38,9.8,0,52.89141213,36.15644569,1.462848771,59.39661371
1.52539E+12,169.44,8.06,0,57.17345412,33.57384243,1.702916616,63.00292824
1.52548E+12,179.04,9.6,0,62.68963597,31.17571082,2.010848648,66.78677287
1.52556E+12,172.32,0,6.72,58.21180483,35.66887434,1.632005661,62.00616074
1.52565E+12,164.59,0,7.73,54.05381877,40.8510976,1.323191345,56.9557625
1.52574E+12,158.89,0,5.7,50.19283171,43.63316206,1.150336793,53.4956569
1.52582E+12,156.72,0,2.17,46.60762945,42.68650762,1.091858576,52.1956211
1.52591E+12,148.16,0,8.56,43.27851306,48.19747136,0.897941569,47.31133896
1.526E+12,136.32,0,11.84,40.1871907,56.59479484,0.710086339,41.52342037
1.52608E+12,141.57,5.25,0,42.56667708,52.55230949,0.809986801,44.75097834
1.52617E+12,144.24,2.67,0,42.19620014,48.7985731,0.864701516,46.37211418
1.52626E+12,147.42,3.18,0,42.36218585,45.31296074,0.934880113,48.31721132
1.52634E+12,139.35,0,8.07,39.33631543,50.14632068,0.78443074,43.95971904
1.52643E+12,138.92,0,0.43,36.52657861,46.99444063,0.777253184,43.73339662
1.52652E+12,132.31,0,6.61,33.91753728,50.24769487,0.675006831,40.29875094
1.5266E+12,135.95,3.64,0,35.13485605,46.65857381,0.75302036,42.95559693
1.52669E+12,134.95,0,1,32.62522347,44.32581854,0.736032059,42.39737711
1.52677E+12,139.64,4.69,0,34.98485037,41.15968864,0.849978499,45.94531771
1.52686E+12,134.25,0,5.39,32.48593248,43.60971088,0.74492428,42.69092296
1.52695E+12,127.89,0,6.36,30.16550874,46.85473154,0.643809232,39.16569025
1.52703E+12,118.37,0,9.52,28.01082954,53.027965,0.528227503,34.56471644
1.52712E+12,122.58,4.21,0,30.220056,49.24025321,0.613726657,38.03163655
1.52721E+12,118.87,0,3.71,28.06148057,49.43309227,0.567665895,36.2108978
1.52729E+12,118.45,0,0.42,26.0570891,46.32215711,0.562518905,36.00077435
1.52738E+12,117.71,0,0.74,24.19586845,43.7534316,0.553005046,35.6087089
1.52747E+12,110.82,0,6.89,22.46759214,47.51818648,0.472820909,32.10308234
1.52755E+12,119.28,8.46,0,29.32276413,44.12403031,0.664553168,39.92381744
1.52764E+12,117.18,0,2.1,27.22828097,43.07231386,0.632152734,38.73122417
1.52772E+12,118.25,1.07,0,26.35340376,39.99572001,0.658905597,39.71929434
1.52781E+12,120.19,1.94,0,26.41101778,37.13888287,0.711141955,41.559495
1.5279E+12,123.44,3.25,0,27.77451651,34.48610552,0.805382808,44.61008516
1.52798E+12,125.33,1.89,0,27.68062247,32.02281227,0.864403234,46.36353435
1.52807E+12,119.77,0,5.56,25.70343515,35.29546853,0.728236123,42.13753625
1.52816E+12,122.18,2.41,0,26.2774755,32.77436364,0.801769206,44.49899594
1.52824E+12,121.61,0,0.57,24.40051296,31.00333766,0.787028585,44.0411861
1.52833E+12,121.54,0,0.07,22.65761918,28.85881355,0.785119566,43.98134339
1.52842E+12,119.68,0,1.86,21.03921781,28.65746972,0.734161739,42.33525182
1.5285E+12,117.4,0,2.28,19.53641654,28.8905076,0.676222682,40.34205535
1.52859E+12,106.48,0,10.92,18.14095821,37.74689991,0.480594652,32.45956961
1.52868E+12,107.2,0.72,0,17.56517548,35.05069278,0.501136328,33.38379859
1.52876E+12,99.68,0,7.52,16.31052009,40.06707186,0.407080411,28.93085626
1.52885E+12,93.37,0,6.31,15.14548294,43.51513816,0.348050899,25.81882472
1.52893E+12,100.88,7.51,0,21.57366273,40.406914,0.53391018,34.80713454
1.52902E+12,95.5,0,5.38,20.03268682,42.90070586,0.466954714,31.83156981
1.52911E+12,96.66,1.16,0,19.76178062,39.83636973,0.496073833,33.15837909
1.52919E+12,94.95,0,1.71,18.35022486,38.70091475,0.47415481,32.16451939
1.52928E+12,98.7,3.75,0,20.78949452,35.93656369,0.578505354,36.64893203
1.52937E+12,98.67,0,0.03,19.30453062,33.39966629,0.577985734,36.62807092
1.52945E+12,97.72,0,0.95,17.92563558,31.96397584,0.560807444,35.93059771
1.52954E+12,96.72,0,1,16.64523304,30.68083471,0.542528689,35.17138404
1.52963E+12,84.8,0,11.92,15.45628782,40.40934651,0.382492892,27.66689755
1.52971E+12,82.73,0,2.07,14.35226726,39.59296462,0.362495393,26.60525641
1.5298E+12,80.37,0,2.36,13.32710531,39.12489572,0.340629798,25.40819235
1.52988E+12,81.48,1.11,0,13.48516922,36.33026031,0.371182841,27.07026587
1.52997E+12,75.54,0,5.94,12.52194285,39.67524172,0.315611003,23.98969016
1.53006E+12,80.6,5.06,0,16.68751836,36.84129588,0.452956878,31.17483284
1.53014E+12,74.05,0,6.55,15.49555276,40.75977475,0.380167772,27.54504053
1.53023E+12,78.94,4.89,0,19.27872756,37.84836226,0.50936755,33.747085
1.53032E+12,81.33,2.39,0,20.29167559,35.14490782,0.577371712,36.60340221
1.5304E+12,79.95,0,1.38,18.8422702,34.01455726,0.553947242,35.64775092
1.53049E+12,85.36,5.41,0,22.90639375,31.58494603,0.725231372,42.03676005
1.53058E+12,85.09,0,0.27,21.27022277,29.59887845,0.718615836,41.81363983
1.53066E+12,85.28,0.19,0,19.94092114,27.48467285,0.725528779,42.04675043
1.53075E+12,83.33,0,1.95,18.51656963,27.47148193,0.674028787,40.26387073
1.53084E+12,83.1,0,0.23,17.19395752,25.73923322,0.668005817,40.04817071
1.53092E+12,84.79,1.69,0,17.65581769,23.90071656,0.738714994,42.48626121
1.53101E+12,82.22,0,2.57,16.39468786,24.76352252,0.66204991,39.83333509
1.53109E+12,80.46,0,1.76,15.22363873,24.75469948,0.614979743,38.07971869
1.53118E+12,75.81,0,4.65,14.13623596,27.63650666,0.511505891,33.84081358
1.53127E+12,78.18,2.37,0,15.49650482,25.66247047,0.603858652,37.65036595
1.53135E+12,76.79,0,1.39,14.38961162,25.21943687,0.570576246,36.32910198
1.53144E+12,76.53,0,0.26,13.36178222,23.67804852,0.564310957,36.07409092
1.53153E+12,76.18,0,0.35,12.4073692,22.33675934,0.555468634,35.71069335
1.53161E+12,78.54,2.36,0,13.88112854,20.74127653,0.669251409,40.09290664
1.5317E+12,83.49,4.95,0,17.83961936,19.25975678,0.926264001,48.08603599
1.53179E+12,89.06,5.57,0,22.13536084,17.88405987,1.237714535,55.31154736
1.53187E+12,86.21,0,2.85,20.55426363,19.45662702,1.056414538,51.37167231
1.53196E+12,86,0,0.21,19.08610195,18.27686795,1.044276405,51.08293586
1.53204E+12,81.87,0,4.13,17.72280895,21.10137738,0.839888725,45.64888701
1.53213E+12,83.44,1.57,0,18.02689402,19.59413614,0.920014738,47.91706646
1.53222E+12,82.21,0,1.23,16.73925874,19.42455498,0.861757644,46.28731601
1.5323E+12,81.38,0,0.83,15.5435974,18.86708677,0.823847242,45.17084671
1.53239E+12,89.12,7.74,0,22.17334044,17.51943772,1.265642243,55.86240488
1.53248E+12,86.38,0,2.74,20.58953041,19.00804931,1.0832006,51.99694162
1.53256E+12,83.37,0,3.01,19.11884967,20.6603315,0.925389298,48.06245153
1.53265E+12,84.39,1.02,0,18.77321755,19.18459354,0.978556961,49.45811418
1.53274E+12,84.07,0,0.32,17.43227344,18.13426543,0.961289196,49.01312862
1.53282E+12,83.85,0,0.22,16.18711105,17.05896075,0.94889198,48.68879291
1.53291E+12,82.18,0,1.67,15.03088883,17.51046356,0.858394684,46.19011728
1.533E+12,78.69,0,3.49,13.95725391,19.74971616,0.706706557,41.4076195
1.53308E+12,77.53,0,1.16,12.96030721,19.49902215,0.664664469,39.9278342
1.53317E+12,76.11,0,1.42,12.03457098,19.52623485,0.616328292,38.13138056
1.53325E+12,77.7,1.59,0,12.76495876,18.13150379,0.704020963,41.31527595
1.53334E+12,73.13,0,4.57,11.853176,21.40639638,0.553721224,35.63838964
1.53343E+12,74.61,1.48,0,12.48652057,19.87736806,0.628177761,38.58164484
1.53351E+12,73.62,0,0.99,11.59462624,19.44755606,0.596199656,37.35119564
1.5336E+12,67.35,0,6.27,10.76643865,24.32844491,0.442545288,30.67808626
1.53369E+12,62.13,0,5.22,9.99740732,27.81069885,0.359480622,26.44249695
1.53377E+12,62.89,0.76,0,10.0433068,25.82422036,0.388910358,28.00111297
1.53386E+12,59.16,0,3.73,9.32592774,27.70963319,0.336559047,25.18100849
1.53395E+12,57.6,0,1.56,8.659790045,27.29037368,0.317320318,24.0883188
1.53403E+12,59.32,1.72,0,9.761233613,25.34106127,0.38519435,27.80796425
1.53412E+12,56.44,0,2.88,9.064002641,26.41098547,0.343190626,25.55040361
1.5342E+12,54.24,0,2.2,8.416573881,26.7244865,0.314938657,23.95082501
1.53429E+12,54.32,0.08,0,7.895390032,24.81559461,0.318162436,24.13681556
1.53438E+12,55.29,0.97,0,8.301433601,23.04305214,0.360257554,26.48451045
1.53446E+12,61.75,6.46,0,14.16847406,21.39711984,0.662167346,39.837586
1.53455E+12,57.04,0,4.71,13.1564402,24.57875414,0.535276936,34.86517143
1.53464E+12,57.67,0.63,0,12.84669447,22.82312884,0.562880513,36.01558201
1.53472E+12,53.39,0,4.28,11.92907344,25.47290536,0.468304391,31.89423079
1.53481E+12,56.42,3.03,0,14.10699676,23.65341212,0.596404303,37.35922672
1.5349E+12,55.14,0,1.28,13.09935414,23.24388268,0.56356136,36.0434438
1.53498E+12,57.29,2.15,0,14.31368598,21.58360534,0.663174004,39.87400011
1.53507E+12,57.82,0.53,0,13.82127984,20.04191925,0.689618577,40.81504469
1.53516E+12,57.89,0.07,0,12.90404557,18.61035359,0.693379925,40.94650672
1.53524E+12,56.99,0,0.9,11.98232803,18.18104262,0.659056154,39.72476474
1.53533E+12,60.61,3.62,0,14.74644745,16.88239672,0.873480685,46.62341556
1.53541E+12,63.13,2.52,0,16.21312978,15.67651124,1.034230738,50.84136811
1.5355E+12,61.41,0,1.72,15.05504908,16.27676043,0.924941369,48.05036579
1.53559E+12,60.23,0,1.18,13.97968843,16.29413469,0.85795832,46.17747939
1.53567E+12,62.04,1.81,0,14.79113926,15.13026793,0.977586076,49.43330094
1.53576E+12,66.49,4.45,0,18.18462931,14.0495345,1.294322549,56.41414934
1.53585E+12,66.21,0,0.28,16.88572722,13.32599632,1.26712681,55.89130721
1.53593E+12,65.44,0,0.77,15.67960384,13.14413944,1.192896949,54.39822194
1.53602E+12,67.6,2.16,0,16.71963214,12.20527234,1.369869649,57.80358636
1.53611E+12,57.82,0,9.78,15.5253727,21.11346717,0.735330326,42.37408377
1.53619E+12,57.61,0,0.21,14.41641751,19.81536237,0.727537414,42.11413359
1.53628E+12,55.66,0,1.95,13.3866734,20.34997935,0.657822456,39.67990986
1.53636E+12,53.07,0,2.59,12.43048244,21.48640939,0.578527674,36.64982777
1.53645E+12,54.74,1.67,0,13.21259084,19.95166587,0.662229958,39.83985216
1.53654E+12,54.34,0,0.4,12.26883435,18.92654688,0.648234167,39.3290092
1.53662E+12,52.04,0,2.3,11.39248904,19.87465067,0.573217071,36.43598086
1.53671E+12,51.69,0,0.35,10.57873982,18.80503277,0.562548332,36.00197964
1.5368E+12,54.44,2.75,0,12.57311555,17.46181614,0.720034815,41.86164191
1.53688E+12,56.24,1.8,0,13.47503587,16.21454356,0.831046265,45.38641547
1.53697E+12,56.22,0,0.02,12.51253331,15.07636188,0.829943816,45.35351352
1.53706E+12,56.75,0.53,0,12.14878093,13.99947888,0.867802368,46.46114508
1.53714E+12,52.07,0,4.68,11.28101086,17.67951611,0.638083689,38.95305798
1.53723E+12,53.96,1.89,0,12.36522437,16.41669353,0.753210404,42.96178043
1.53732E+12,54.27,0.31,0,11.79199406,15.24407256,0.773546177,43.61579007
1.5374E+12,56.53,2.26,0,13.20970877,14.15521024,0.933204703,48.27242049
1.53749E+12,60.83,4.3,0,16.56615814,13.14412379,1.260347088,55.75900687
1.53757E+12,60.65,0,0.18,15.38286113,12.38525781,1.24202995,55.39756282
1.53766E+12,61.38,0.73,0,15.01408534,11.50059653,1.305504918,56.62555338
